ZaporednaStevilkaKD;MesecStoritve;UraStoritve;DanVTednu;PUStoritveKD;Povratnik;OpisKD;PoglavjeKD;GospodarskiKriminal;OrganiziranKriminal;MladoletniskaKriminaliteta;Poskus;KriminalisticnaOznacba1;KriminalisticnaOznacba2;KriminalisticnaOznacba3;UporabljenoSredstvo1;UporabljenoSredstvo2;UporabljenoSredstvo3;UporabljenoSredstvo4;UpravnaEnotaStoritve;OpisKraja;LetoZakljucnegaDokumenta;VrstaZakljucnegaDokumenta;ZaporednaStevilkaOsebeVKD;VrstaOsebe;StarostniRazred;Spol;Drzavljanstvo;Poskodba;VplivAlkohola;VplivMamil;OrganiziranaZdruzba;Skoda
000154;12.2014;23:00-23:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/235*/2// - PONAREDITEV ALI UNIÈENJE POSLOVNIH LISTIN;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;PRI OPRAVLJANJU STORITEV - O;;;259-POSLOVNE LISTINE;;;;GORNJA RADGONA;PROSTOR ZA ZDRAVSTVENE STORITVE Z NEPOSRED. OKOLICO (DVORIŠÈE IPD.);2018;POROÈILO;000154001;OSTALO;24-34;ŽENSKI;SLOVENSKO;;NE;NE;NE;BREZ
001005;12.2015;23:00-23:59;ÈETRTEK;PU MURSKA SOBOTA;NE;KZ12/235*/2// - PONAREDITEV ALI UNIÈENJE POSLOVNIH LISTIN;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;PRI OPRAVLJANJU STORITEV - O;;;259-POSLOVNE LISTINE;;;;GORNJA RADGONA;PROSTOR ZA ZDRAVSTVENE STORITVE Z NEPOSRED. OKOLICO (DVORIŠÈE IPD.);2018;POROÈILO;001005001;OSTALO;44-54;ŽENSKI;TUJE;;NE;NE;NE;BREZ
002157;12.2016;23:00-23:59;SOBOTA;PU MURSKA SOBOTA;DA;KZ12/240*/2// - ZLORABA POLOŽAJA ALI ZAUPANJA PRI GOSPODARSKI DEJAVNOSTI;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;PRI DRUGEM FINANÈNEM POSLOVANJU - O;;;048-DENAR;;;;GORNJA RADGONA;UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE;2018;POROÈILO;002157001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;100.000 - 500.000 EUR
002655;06.2017;00:00-00:59;TOREK;PU MURSKA SOBOTA;NE;KZ12/240*/1// - ZLORABA POLOŽAJA ALI ZAUPANJA PRI GOSPODARSKI DEJAVNOSTI;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;PRIDOBITEV PREMOŽENJSKE KORISTI - O;;;048-DENAR;;;;GORNJA RADGONA;PROSTOR ZA INDUSTRIJSKO, KMETIJSKO ALI OBRTNO PROIZVODNJO IN STORITVE;2018;OVADBA;002655001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;10.000 - 100.000 EUR
002793;08.2017;07:00-07:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PROIZVODNJA - O;;;438-KONOPLJA RASTLINA (BILKA);;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;002793001;OVADENI OSUMLJENEC;44-54;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
002997;09.2017;09:00-09:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PROIZVODNJA - O;;;438-KONOPLJA RASTLINA (BILKA);;;;GORNJA RADGONA;NARAVNA POVRŠINA;2018;OVADBA;;;;;;;;;;
002998;09.2017;11:00-11:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PROIZVODNJA - O;;;438-KONOPLJA RASTLINA (BILKA);;;;GORNJA RADGONA;NARAVNA POVRŠINA;2018;OVADBA;;;;;;;;;;
003093;09.2017;08:00-08:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PROIZVODNJA - O;;;437-KONOPLJA RASTLINA (MARIHUANA);;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;POROÈILO;;;;;;;;;;
003102;09.2017;09:00-09:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PROIZVODNJA - O;;;437-KONOPLJA RASTLINA (MARIHUANA);;;;GORNJA RADGONA;NARAVNA POVRŠINA;2018;OVADBA;;;;;;;;;;
003369;03.2017;23:00-23:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/208*/5/G/ - ZATAJITEV;KD ZOPER PREMOŽENJE;GOSPODARSKA; ; ;NE;NAJDENA STVAR - O;PREGON NA PREDLOG - O;;005-APARATI;;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;POROÈILO;003369001;ŽRTEV;54-64;MOŠKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;10.000 - 100.000 EUR
004324;10.2017;07:00-07:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PROIZVODNJA - O;;;437-KONOPLJA RASTLINA (MARIHUANA);;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;POROÈILO;004324001;OVADENI OSUMLJENEC;18-24;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
004326;10.2017;12:00-12:59;ÈETRTEK;PU MURSKA SOBOTA;NE;KZ12/228*/1// - POSLOVNA GOLJUFIJA;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;Z DELNO NEIZPOLNITVIJO OBVEZNOSTI;;;048-DENAR;;;;GORNJA RADGONA;PRODAJNI PROSTOR;2018;POROÈILO;004326001;ŽRTEV;44-54;MOŠKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;100 - 1.000 EUR
004529;10.2017;00:00-00:59;NEDELJA;PU MURSKA SOBOTA;NE;KZ17/196,/1// - KRŠITEV TEMELJNIH PRAVIC DELAVCEV;KD ZOPER DELOVNO RAZMERJE IN SOCIALNO VARSTVO;GOSPODARSKA; ; ;NE;NEIZPLAÈILO PLAÈ - O;;;152-LISTINE;;;;GORNJA RADGONA;PRODAJNI PROSTOR;2018;OVADBA;004529001;OSTALO;34-44;MOŠKI;TUJE;;NE;NE;NE;BREZ
004624;01.2017;00:00-00:59;TOREK;PU MURSKA SOBOTA;NE;KZ12/196*/2// - KRŠITEV TEMELJNIH PRAVIC DELAVCEV;KD ZOPER DELOVNO RAZMERJE IN SOCIALNO VARSTVO;GOSPODARSKA; ; ;NE;NEIZPLAÈILO PLAÈ - O;;;152-LISTINE;;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;004624001;OVADENI OSUMLJENEC;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;BREZ
004864;09.2017;17:00-17:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/235*/2// - PONAREDITEV ALI UNIÈENJE POSLOVNIH LISTIN;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;UPORABA LISTINE Z LAŽNO VSEBINO - O;;;259-POSLOVNE LISTINE;;;;GORNJA RADGONA;UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE;2018;OVADBA;004864001;OVADENI OSUMLJENEC;44-54;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
005400;11.2017;05:00-05:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/204*/2/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;;;182-NAFTA;;;;GORNJA RADGONA;OBMOÈJE PROMETA;2018;OVADBA;005400001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;100 - 1.000 EUR
005464;10.2017;00:00-00:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/228*/1// - POSLOVNA GOLJUFIJA;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;S CELOTNO NEIZPOLNITVIJO OBVEZNOSTI;;;048-DENAR;;;;GORNJA RADGONA;UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE;2018;OVADBA;005464001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;1.000 - 10.000 EUR
006338;11.2017;23:00-23:59;ÈETRTEK;PU MURSKA SOBOTA;NE;KZ12/205*/3/G/ - VELIKA TATVINA;KD ZOPER PREMOŽENJE;GOSPODARSKA; ; ;NE;STVAR VELIKE VREDNOSTI - O;;;267-PREDMETI IZ KOVINE;054-DOKUMENTI IN JAVNE LISTINE;;;GORNJA RADGONA;OSTALO;2018;POROÈILO;006338001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;TUJE;;NN;NN;NE;10.000 - 100.000 EUR
006343;02.2017;23:00-23:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/228*/1// - POSLOVNA GOLJUFIJA;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;S CELOTNO NEIZPOLNITVIJO OBVEZNOSTI;;;199-NI PREDMETA;;;;GORNJA RADGONA;UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE;2018;OVADBA;006343001;OSTALO;34-44;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
006790;11.2017;14:00-14:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/220*/1// - POŠKODOVANJE TUJE STVARI;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;;;268-PREDMETI IZ LESA;;;;GORNJA RADGONA;NARAVNA POVRŠINA;2018;OVADBA;006790001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;100 - 1.000 EUR
006965;12.2017;23:00-23:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/204*/1/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;NI OZNAKE;;;338-STAVBNO POHIŠTVO;;;;GORNJA RADGONA;PROSTOR ZA ŠPORT, REKREACIJO, ZABAVO;2018;OVADBA;006965001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;100 - 1.000 EUR
007032;12.2017;18:00-18:59;NEDELJA;PU MURSKA SOBOTA;NE;KZ12/122*/1// - LAHKA TELESNA POŠKODBA;KD ZOPER ŽIVLJENJE IN TELO;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;;;199-NI PREDMETA;;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;007032001;ŽRTEV;44-54;MOŠKI;SLOVENSKO;LAHKA TELESNA POŠKODBA;NN;NN;NE;BREZ
007033;12.2017;04:00-04:59;NEDELJA;PU MURSKA SOBOTA;NE;KZ12/204*/2/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;;;270-PREDMETI IZ PLASTIKE;356-TELEKOMUNIKACIJSKA SREDSTVA IN NAPRAVE;;;GORNJA RADGONA;PROSTOR ZA ŠPORT, REKREACIJO, ZABAVO;2018;OVADBA;007033001;ŽRTEV;24-34;ŽENSKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;100 - 1.000 EUR
007085;12.2017;12:00-12:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/213*/1// - IZSILJEVANJE;KD ZOPER PREMOŽENJE;SPLOŠNA; ;MLADOLETNIŠKA;NE;GROŽNJA S TELESNIMI POŠKODBAMI - O;;;048-DENAR;;;;GORNJA RADGONA;OBMOÈJE PROMETA;2018;OVADBA;007085001;OVADENI OSUMLJENEC;14-16;MOŠKI;SLOVENSKO;;NN;NN;NE;BREZ
007096;11.2017;00:00-00:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/173A*/1// - PRIDOBIVANJE OSEB, MLAJŠIH OD PETNAJST LET, ZA SPOLE NAMENE;KD ZOPER SPOLNO NEDOTAKLJIVOST;SPLOŠNA; ; ;NE;NI OZNAKE;;;483-INFORMACIJSKA TEHNOLOGIJA;;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;007096001;ŽRTEV;07-14;ŽENSKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;BREZ
007217;12.2017;11:00-11:59;TOREK;PU MURSKA SOBOTA;NE;KZ12/204*/2/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;;;182-NAFTA;;;;GORNJA RADGONA;PRODAJNI PROSTOR;2018;OVADBA;007217001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;DO 100 EUR
007254;11.2017;00:00-00:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/204*/1/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;NI OZNAKE;;;268-PREDMETI IZ LESA;;;;GORNJA RADGONA;ODPRT ALI ZAPRT SKLADIŠÈNI PROSTOR;2018;OVADBA;007254001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;1.000 - 10.000 EUR
007314;12.2017;11:00-11:59;TOREK;PU MURSKA SOBOTA;DA;KZ12/205*/1/1 S/ - VELIKA TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;Z VLOMOM- O;;;219-ORODJE;062-ELEKTRIÈNO ORODJE IN APARATI;099-IZVIJAÈ;120-KLEŠÈE;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;007314001;OVADENI OSUMLJENEC;24-34;MOŠKI;SLOVENSKO;;NN;NN;NE;BREZ
007416;12.2017;13:00-13:59;ÈETRTEK;PU MURSKA SOBOTA;NE;KZ12/220*/1// - POŠKODOVANJE TUJE STVARI;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;;;266-PREDMETI IZ GUME;;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;007416001;ŽRTEV;NAD 64;MOŠKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;100 - 1.000 EUR
007486;12.2017;02:00-02:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/122*/1// - LAHKA TELESNA POŠKODBA;KD ZOPER ŽIVLJENJE IN TELO;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;PRIZADETA ZUNANJOST - O;ZARADI SPORA, PREPIRA;199-NI PREDMETA;;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;007486001;OSTALO;34-44;ŽENSKI;SLOVENSKO;;NE;NE;NE;BREZ
007838;12.2017;06:00-06:59;TOREK;PU MURSKA SOBOTA;NE;KZ12/171*/1// - SPOLNO NASILJE;KD ZOPER SPOLNO NEDOTAKLJIVOST;SPLOŠNA; ; ;NE;UPORABA SILE - O;;;199-NI PREDMETA;;;;GORNJA RADGONA;OBMOÈJE PROMETA;2018;OVADBA;007838001;OVADENI OSUMLJENEC;24-34;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
007875;12.2017;18:00-18:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/173A*/1// - PRIDOBIVANJE OSEB, MLAJŠIH OD PETNAJST LET, ZA SPOLE NAMENE;KD ZOPER SPOLNO NEDOTAKLJIVOST;SPLOŠNA; ; ;NE;NI OZNAKE;;;483-INFORMACIJSKA TEHNOLOGIJA;;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;007875001;OSTALO;24-34;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
007884;12.2017;23:00-23:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/213*/1// - IZSILJEVANJE;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;GROŽNJA Z RAZKRITJEM - O;;;356-TELEKOMUNIKACIJSKA SREDSTVA IN NAPRAVE;;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;007884001;ŽRTEV;24-34;MOŠKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;BREZ
007895;11.2012;17:00-17:59;TOREK;PU MURSKA SOBOTA;NE;KZ12/251*/3/S/ - PONAREJANJE LISTIN;KD ZOPER PRAVNI PROMET;SPLOŠNA; ; ;NE;UPORABA PONAREJENE LISTINE - O;;;285-PROMETNO DOVOLJENJE;;;;GORNJA RADGONA;OBMOÈJE PROMETA;2018;OVADBA;007895001;OVADENI OSUMLJENEC;24-34;MOŠKI;TUJE;;NE;NE;NE;BREZ
007972;12.2017;14:00-14:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/211*/1/S/ - GOLJUFIJA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;KLASIÈNA - O;;;048-DENAR;;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;007972001;ŽRTEV;24-34;ŽENSKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;BREZ
007980;12.2017;12:00-12:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/204*/2/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;;;268-PREDMETI IZ LESA;;;;GORNJA RADGONA;NARAVNA POVRŠINA;2018;OVADBA;007980001;ŽRTEV;44-54;ŽENSKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;100 - 1.000 EUR
007990;12.2017;00:00-00:59;TOREK;PU MURSKA SOBOTA;NE;KZ12/204*/1/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;NI OZNAKE;;;062-ELEKTRIÈNO ORODJE IN APARATI;;;;GORNJA RADGONA;PRODAJNI PROSTOR;2018;OVADBA;007990001;ŽRTEV;24-34;ŽENSKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;100 - 1.000 EUR
008040;12.2017;11:00-11:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/192*/1// - ZANEMARJANJE MLADOLETNE OSEBE IN SUROVO RAVNANJE;KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE;SPLOŠNA; ; ;NE;VZGOJNO ZANEMARJANJE - O;;;199-NI PREDMETA;;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;008040001;OVADENI OSUMLJENEC;24-34;ŽENSKI;SLOVENSKO;;NE;NE;NE;BREZ
008289;12.2017;17:00-17:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/208*/5/S/ - ZATAJITEV;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;;;048-DENAR;;;;GORNJA RADGONA;PROSTOR ZA DENARNO-FINANÈNE STORITVE;2018;OVADBA;008289001;ŽRTEV;24-34;MOŠKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;100 - 1.000 EUR
008296;12.2017;02:00-02:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/122*/1// - LAHKA TELESNA POŠKODBA;KD ZOPER ŽIVLJENJE IN TELO;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;PRIZADETA ZUNANJOST - O;;199-NI PREDMETA;;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;008296001;ŽRTEV;34-44;ŽENSKI;SLOVENSKO;LAHKA TELESNA POŠKODBA;NN;NN;NE;BREZ
008901;10.2017;23:00-23:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/211*/5/S/ - GOLJUFIJA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;KLASIÈNA - O;;;048-DENAR;;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;008901001;ŽRTEV;18-24;ŽENSKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;DO 100 EUR
009080;11.2017;15:00-15:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/190*/1// - ODVZEM MLADOLETNE OSEBE;KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE;SPLOŠNA; ; ;NE;ONEMOGOÈANJE ODLOÈBE O DODELITVI - O;;;199-NI PREDMETA;;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;009080001;OSTALO;34-44;ŽENSKI;SLOVENSKO;;NE;NE;NE;BREZ
009257;12.2017;07:00-07:59;NEDELJA;PU MURSKA SOBOTA;NE;KZ12/204*/1/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;NI OZNAKE;;;182-NAFTA;;;;GORNJA RADGONA;OBMOÈJE PROMETA;2018;OVADBA;009257001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;TUJE;;NN;NN;NE;100 - 1.000 EUR
009282;06.2016;00:00-00:59;TOREK;PU MURSKA SOBOTA;NE;KZ12/211*/1/G/ - GOLJUFIJA;KD ZOPER PREMOŽENJE;GOSPODARSKA; ; ;NE;NEPLAÈILO(BLAGA, STORITVE, DOLGA...) - O;;;199-NI PREDMETA;;;;GORNJA RADGONA;UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE;2018;OVADBA;009282001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;1.000 - 10.000 EUR
009301;12.2017;00:00-00:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/220*/1// - POŠKODOVANJE TUJE STVARI;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;POŠKODOVANJE STVARI - O;S POŽIGOM;PREGON NA PREDLOG - O;268-PREDMETI IZ LESA;;;;GORNJA RADGONA;OBMOÈJE PROMETA;2018;OVADBA;009301001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;1.000 - 10.000 EUR
009668;12.2017;18:00-18:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/243*/1// - PONAREJANJE DENARJA;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;SPRAVLJANJE V OBTOK, UPORABA - O;;;049-DENAR DOMAÈI;;;;GORNJA RADGONA;PROSTOR ZA DENARNO-FINANÈNE STORITVE;2018;OVADBA;009668001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;DO 100 EUR
009671;12.2017;18:00-18:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/205*/1/1 S/ - VELIKA TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;DA;Z VLOMOM- O;;;199-NI PREDMETA;;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;009671001;ŽRTEV;NAD 64;ŽENSKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;100 - 1.000 EUR
009779;12.2017;08:00-08:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/194*/1// - NEPLAÈEVANJE PREŽIVNINE;KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE;SPLOŠNA; ; ;NE;IZMIKANJE DAJANJA PREŽIVNINE;;;199-NI PREDMETA;;;;GORNJA RADGONA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;009779001;ŽRTEV;NAD 64;MOŠKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;DO 100 EUR
009864;12.2017;11:00-11:59;SREDA;PU MURSKA SOBOTA;NE;KZ15/135+/1// - GROŽNJA;KD ZOPER ÈLOVEKOVE PRAVICE IN SVOBOŠÈINE;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;;;199-NI PREDMETA;;;;GORNJA RADGONA;OBMOÈJE PROMETA;2018;OVADBA;009864001;OVADENI OSUMLJENEC;54-64;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
009914;12.2017;02:00-02:59;SOBOTA;PU MURSKA SOBOTA;NE;KZ12/122*/2// - LAHKA TELESNA POŠKODBA;KD ZOPER ŽIVLJENJE IN TELO;SPLOŠNA; ; ;NE;PRIZADETA ZUNANJOST - O;;;267-PREDMETI IZ KOVINE;;;;GORNJA RADGONA;PROSTOR ZA ŠPORT, REKREACIJO, ZABAVO;2018;OVADBA;009914001;OVADENI OSUMLJENEC;34-44;MOŠKI;TUJE;;NE;NE;NE;BREZ
