ZaporednaStevilkaKD;MesecStoritve;UraStoritve;DanVTednu;PUStoritveKD;Povratnik;OpisKD;PoglavjeKD;GospodarskiKriminal;OrganiziranKriminal;MladoletniskaKriminaliteta;Poskus;KriminalisticnaOznacba1;KriminalisticnaOznacba2;KriminalisticnaOznacba3;UporabljenoSredstvo1;UporabljenoSredstvo2;UporabljenoSredstvo3;UporabljenoSredstvo4;UpravnaEnotaStoritve;OpisKraja;LetoZakljucnegaDokumenta;VrstaZakljucnegaDokumenta;ZaporednaStevilkaOsebeVKD;VrstaOsebe;StarostniRazred;Spol;Drzavljanstvo;Poskodba;VplivAlkohola;VplivMamil;OrganiziranaZdruzba;Skoda
053701;10.2019;05:00-05:59;NEDELJA;PU MURSKA SOBOTA;NE;KZ12/204*/1/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;NI OZNAKE;;;182-NAFTA;;;;MURSKA SOBOTA;PRODAJNI PROSTOR;2019;OVADBA;053701001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;TUJE;;NN;NN;NE;100 - 1.000 EUR
053702;10.2019;04:00-04:59;NEDELJA;PU MURSKA SOBOTA;NE;KZ12/123*/1// - HUDA TELESNA POŠKODBA;KD ZOPER ŽIVLJENJE IN TELO;SPLOŠNA; ; ;NE;ZAÈASNA NEZMOŽNOST ZA VSAKRŠNO DELO - O;ZAÈASNA ZNATNA OSLABITEV POMEMBNEGA DELA TELESA/ORGANA - O;;199-NI PREDMETA;;;;MURSKA SOBOTA;PROSTOR ZA ŠPORT, REKREACIJO, ZABAVO;2019;OVADBA;053702001;ŽRTEV;34-44;MOŠKI;SLOVENSKO;HUDA TELESNA POŠKODBA;NN;NN;NE;BREZ
053703;10.2019;06:00-06:59;NEDELJA;PU MURSKA SOBOTA;NE;KZ12/220*/1// - POŠKODOVANJE TUJE STVARI;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;POŠKODOVANJE STVARI - O;PREGON NA PREDLOG - O;;223-OSEBNI AVTOMOBIL;;;;MURSKA SOBOTA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2019;OVADBA;053703001;ŽRTEV;NAD 64;MOŠKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;100 - 1.000 EUR
053714;10.2019;05:00-05:59;NEDELJA;PU MURSKA SOBOTA;NE;KZ12/220*/1// - POŠKODOVANJE TUJE STVARI;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;;;338-STAVBNO POHIŠTVO;;;;MURSKA SOBOTA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2019;OVADBA;053714001;ŽRTEV;NAD 64;MOŠKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;100 - 1.000 EUR
053839;10.2019;07:00-07:59;PETEK;PU MURSKA SOBOTA;NE;KZ15/135+/2// - GROŽNJA;KD ZOPER ÈLOVEKOVE PRAVICE IN SVOBOŠÈINE;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;Z GRDIM RAVNANJEM - O;;199-NI PREDMETA;;;;MURSKA SOBOTA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2019;POROÈILO;053839001;ŽRTEV;00-07;MOŠKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;BREZ
053936;06.2018;00:00-00:59;SOBOTA;PU MURSKA SOBOTA;NE;KZ12/143*/1// - ZLORABA OSEBNIH PODATKOV;KD ZOPER ÈLOVEKOVE PRAVICE IN SVOBOŠÈINE;GOSPODARSKA; ; ;NE;PREVZEM IDENTITETE DRUGE OSEBE - O;;;054-DOKUMENTI IN JAVNE LISTINE;;;;MURSKA SOBOTA;UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE;2019;OVADBA;053936001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;1.000 - 10.000 EUR
053955;10.2019;14:00-14:59;SREDA;PU MURSKA SOBOTA;DA;KZ12/122*/1// - LAHKA TELESNA POŠKODBA;KD ZOPER ŽIVLJENJE IN TELO;SPLOŠNA; ; ;NE;PRIZADETA ZUNANJOST - O;PREGON NA PREDLOG - O;;199-NI PREDMETA;;;;MURSKA SOBOTA;VOZILA;2019;OVADBA;053955001;OVADENI OSUMLJENEC;24-34;MOŠKI;SLOVENSKO;;NN;NN;NE;BREZ
053974;10.2019;08:00-08:59;TOREK;PU MURSKA SOBOTA;NE;KZ12/204*/3/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;;;062-ELEKTRIÈNO ORODJE IN APARATI;;;;MURSKA SOBOTA;NARAVNA POVRŠINA;2019;OVADBA;053974001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;100 - 1.000 EUR
054128;10.2019;09:00-09:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/205*/1/1 S/ - VELIKA TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;S SILO TELESA(BREZ PRIPOMOÈKOV);;;062-ELEKTRIÈNO ORODJE IN APARATI;;;;MURSKA SOBOTA;PROSTOR ZA INDUSTRIJSKO, KMETIJSKO ALI OBRTNO PROIZVODNJO IN STORITVE;2019;OVADBA;054128001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;1.000 - 10.000 EUR
054148;10.2019;09:00-09:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/135*/1// - GROŽNJA;KD ZOPER ÈLOVEKOVE PRAVICE IN SVOBOŠÈINE;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;;;235-PISMO;;;;MURSKA SOBOTA;PROSTOR DRUGIH USTANOV;2019;POROÈILO;054148001;ŽRTEV;44-54;ŽENSKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;BREZ
