ZaporednaStevilkaKD;MesecStoritve;UraStoritve;DanVTednu;PUStoritveKD;Povratnik;OpisKD;PoglavjeKD;GospodarskiKriminal;OrganiziranKriminal;MladoletniskaKriminaliteta;Poskus;KriminalisticnaOznacba1;KriminalisticnaOznacba2;KriminalisticnaOznacba3;UporabljenoSredstvo1;UporabljenoSredstvo2;UporabljenoSredstvo3;UporabljenoSredstvo4;UpravnaEnotaStoritve;OpisKraja;LetoZakljucnegaDokumenta;VrstaZakljucnegaDokumenta;ZaporednaStevilkaOsebeVKD;VrstaOsebe;StarostniRazred;Spol;Drzavljanstvo;Poskodba;VplivAlkohola;VplivMamil;OrganiziranaZdruzba;Skoda
000157;06.2015;23:00-23:59;TOREK;PU MURSKA SOBOTA;NE;KZ12/257*/2// - ZLORABA URADNEGA POLOŽAJA ALI URADNIH PRAVIC;KD ZOPER URADNO DOLŽNOST, JAVNA POOBLASTILA IN JAVNA SREDSTVA;GOSPODARSKA; ; ;NE;POVZROÈENA VEÈJA ŠKODA - O;;;199-NI PREDMETA;;;;MURSKA SOBOTA;PROSTOR ZA INDUSTRIJSKO, KMETIJSKO ALI OBRTNO PROIZVODNJO IN STORITVE;2018;POROÈILO;000157001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;NAD 500.000 EUR
000480;12.2015;14:00-14:59;ÈETRTEK;PU MURSKA SOBOTA;NE;KZ12/235*/1// - PONAREDITEV ALI UNIÈENJE POSLOVNIH LISTIN;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;VPIS LAŽNIH PODATKOV - O;;;259-POSLOVNE LISTINE;;;;MURSKA SOBOTA;PROSTOR ZA INDUSTRIJSKO, KMETIJSKO ALI OBRTNO PROIZVODNJO IN STORITVE;2018;POROÈILO;000480001;OSTALO;54-64;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
000558;11.2016;00:00-00:59;ÈETRTEK;PU MURSKA SOBOTA;NE;KZ12/257*/1// - ZLORABA URADNEGA POLOŽAJA ALI URADNIH PRAVIC;KD ZOPER URADNO DOLŽNOST, JAVNA POOBLASTILA IN JAVNA SREDSTVA;GOSPODARSKA; ; ;NE;PRIZADEJANJE ŠKODE DRUGEMU - O;;;199-NI PREDMETA;;;;MURSKA SOBOTA;OSTALO;2018;POROÈILO;000558001;OSTALO;NAD 64;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
000697;01.2017;00:00-00:59;TOREK;PU MURSKA SOBOTA;NE;KZ08/209-/1// - PONEVERBA IN NEUPRAVIÈENA UPORABA TUJEGA PREMOŽENJA;KD ZOPER PREMOŽENJE;GOSPODARSKA; ; ;NE;PRI OPRAVLJANJU STORITEV - O;PROTI TUJEMU PREMOŽEJU - O;PRI DRUGEM FINANÈNEM POSLOVANJU - O;048-DENAR;;;;MURSKA SOBOTA;PRODAJNI PROSTOR;2018;OVADBA;000697001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;1.000 - 10.000 EUR
000796;10.2016;23:00-23:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/257*/3// - ZLORABA URADNEGA POLOŽAJA ALI URADNIH PRAVIC;KD ZOPER URADNO DOLŽNOST, JAVNA POOBLASTILA IN JAVNA SREDSTVA;GOSPODARSKA; ; ;NE;Z IZRABO URADNEGA POLOŽAJA - O;;;199-NI PREDMETA;;;;MURSKA SOBOTA;PROSTOR ZA ZDRAVSTVENE STORITVE Z NEPOSRED. OKOLICO (DVORIŠÈE IPD.);2018;OVADBA;000796001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;BREZ
000832;01.2017;23:00-23:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/227*/1// - OŠKODOVANJE UPNIKOV;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;V ŠKODO JAVNEGA SEKTORJA - O;;;053-DOKUMENTI;;;;MURSKA SOBOTA;OSTALO;2018;OVADBA;000832001;OVADENI OSUMLJENEC;54-64;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
001078;08.2016;13:00-13:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/179*/1// - MALOMARNO ZDRAVLJENJE IN OPRAVLJANJE ZDRAVILSKE DEJAVNOSTI;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;MALOMARNOST ZDRAVNIKA - O;;;199-NI PREDMETA;;;;MURSKA SOBOTA;PROSTOR ZA ZDRAVSTVENE STORITVE Z NEPOSRED. OKOLICO (DVORIŠÈE IPD.);2018;POROÈILO;001078001;ŽRTEV;NAD 64;ŽENSKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;BREZ
001511;05.2017;18:00-18:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PRODAJA - O;;;437-KONOPLJA RASTLINA (MARIHUANA);;;;MURSKA SOBOTA;OBMOÈJE PROMETA;2018;OVADBA;001511001;OVADENI OSUMLJENEC;24-34;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
001675;09.2013;00:00-00:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/240*/2// - ZLORABA POLOŽAJA ALI ZAUPANJA PRI GOSPODARSKI DEJAVNOSTI;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;PRIDOBITEV PREMOŽENJSKE KORISTI - O;;;195-NEPREMIÈNINE;;;;MURSKA SOBOTA;UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE;2018;OVADBA;001675001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;100.000 - 500.000 EUR
002175;07.2015;12:00-12:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/284*/1// - KRIVA IZPOVEDBA;KD ZOPER PRAVOSODJE;SPLOŠNA; ; ;NE;PRED SODIŠÈEM - O;;;199-NI PREDMETA;;;;MURSKA SOBOTA;PROSTOR DRŽ. USTANOVE, ORGANA LOKALNE SKUP., POLIT. ALI INTERES. ORG.;2018;POROÈILO;002175001;OSTALO;44-54;ŽENSKI;SLOVENSKO;;NE;NE;NE;BREZ
002417;07.2017;19:00-19:59;SOBOTA;PU MURSKA SOBOTA;DA;KZ12/220*/1// - POŠKODOVANJE TUJE STVARI;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;UNIÈENJE STVARI - O;PREGON NA PREDLOG - O;;338-STAVBNO POHIŠTVO;268-PREDMETI IZ LESA;190-NARAVNA SNOV IN TVORBA (KAMEN,LED,VODA);;MURSKA SOBOTA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;002417001;OSTALO;24-34;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
002490;06.2017;23:00-23:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/196*/1// - KRŠITEV TEMELJNIH PRAVIC DELAVCEV;KD ZOPER DELOVNO RAZMERJE IN SOCIALNO VARSTVO;GOSPODARSKA; ; ;NE;NEIZPLAÈILO PLAÈ - O;;;152-LISTINE;;;;MURSKA SOBOTA;UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE;2018;POROÈILO;002490001;OSTALO;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;BREZ
002493;05.2017;23:00-23:59;TOREK;PU MURSKA SOBOTA;NE;KZ12/251*/1/S/ - PONAREJANJE LISTIN;KD ZOPER PRAVNI PROMET;SPLOŠNA; ; ;NE;PREDRUGAÈENJE PRAVE LISTINE - O;UPORABA PONAREJENE LISTINE - O;;152-LISTINE;;;;MURSKA SOBOTA;UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE;2018;POROÈILO;;;;;;;;;;
002599;08.2017;00:00-00:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/257*/3// - ZLORABA URADNEGA POLOŽAJA ALI URADNIH PRAVIC;KD ZOPER URADNO DOLŽNOST, JAVNA POOBLASTILA IN JAVNA SREDSTVA;GOSPODARSKA; ; ;NE;PRIZADEJANJE ŠKODE DRUGEMU - O;;;199-NI PREDMETA;;;;MURSKA SOBOTA;OSTALO;2018;POROÈILO;002599001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;BREZ
002687;06.2017;15:00-15:59;NEDELJA;PU MURSKA SOBOTA;NE;KZ12/122*/2// - LAHKA TELESNA POŠKODBA;KD ZOPER ŽIVLJENJE IN TELO;SPLOŠNA; ; ;NE;ZARADI SPORA, PREPIRA;;;271-PREDMETI IZ STEKLA;;;;MURSKA SOBOTA;PROSTOR ZA ŠPORT, REKREACIJO, ZABAVO;2018;OVADBA;002687001;ŽRTEV;24-34;MOŠKI;SLOVENSKO;LAHKA TELESNA POŠKODBA;NN;NN;NE;BREZ
002850;08.2017;23:00-23:59;NEDELJA;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PROIZVODNJA - O;;;438-KONOPLJA RASTLINA (BILKA);;;;MURSKA SOBOTA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;002850001;OSTALO;54-64;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
002866;06.2015;11:00-11:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/211*/1/G/ - GOLJUFIJA;KD ZOPER PREMOŽENJE;GOSPODARSKA; ; ;NE;ZAVAROVALNIŠKA - O;;;259-POSLOVNE LISTINE;;;;MURSKA SOBOTA;OSTALO;2018;OVADBA;002866001;OVADENI OSUMLJENEC;54-64;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
002996;09.2017;12:00-12:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PROIZVODNJA - O;;;438-KONOPLJA RASTLINA (BILKA);;;;MURSKA SOBOTA;NARAVNA POVRŠINA;2018;OVADBA;;;;;;;;;;
003059;09.2017;18:00-18:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/205*/1/2 S/ - VELIKA TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ;MLADOLETNIŠKA;NE;S SILO TELESA(BREZ PRIPOMOÈKOV);;;356-TELEKOMUNIKACIJSKA SREDSTVA IN NAPRAVE;054-DOKUMENTI IN JAVNE LISTINE;048-DENAR;;MURSKA SOBOTA;OBMOÈJE PROMETA;2018;OVADBA;003059001;OVADENI OSUMLJENEC;18-24;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
003103;09.2017;12:00-12:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PROIZVODNJA - O;;;437-KONOPLJA RASTLINA (MARIHUANA);;;;MURSKA SOBOTA;NARAVNA POVRŠINA;2018;OVADBA;;;;;;;;;;
003339;06.2017;23:00-23:59;ÈETRTEK;PU MURSKA SOBOTA;NE;KZ12/251*/1/S/ - PONAREJANJE LISTIN;KD ZOPER PRAVNI PROMET;SPLOŠNA; ; ;NE;UPORABA PONAREJENE LISTINE - O;;;247-POGODBE;;;;MURSKA SOBOTA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;003339001;OSTALO;NAD 64;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
003484;09.2017;21:00-21:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PRODAJA - O;;;437-KONOPLJA RASTLINA (MARIHUANA);;;;MURSKA SOBOTA;PROSTOR ZA ŠPORT, REKREACIJO, ZABAVO;2018;OVADBA;003484001;OVADENI OSUMLJENEC;18-24;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
003487;09.2017;19:00-19:59;TOREK;PU MURSKA SOBOTA;NE;KZ12/122*/1// - LAHKA TELESNA POŠKODBA;KD ZOPER ŽIVLJENJE IN TELO;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;;;199-NI PREDMETA;;;;MURSKA SOBOTA;OBMOÈJE PROMETA;2018;OVADBA;003487001;OSTALO;34-44;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
003872;10.2017;14:00-14:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PROIZVODNJA - O;;;437-KONOPLJA RASTLINA (MARIHUANA);;;;MURSKA SOBOTA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;003872001;OSTALO;24-34;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
004006;10.2017;15:00-15:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PROIZVODNJA - O;;;276-PREPOVEDANE DROGE;;;;MURSKA SOBOTA;NARAVNA POVRŠINA;2018;OVADBA;;;;;;;;;;
004123;03.2017;10:00-10:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/228*/1// - POSLOVNA GOLJUFIJA;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;Z DELNO NEIZPOLNITVIJO OBVEZNOSTI;;;048-DENAR;;;;MURSKA SOBOTA;OSTALO;2018;POROÈILO;004123001;OSTALO;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;BREZ
004186;08.2015;16:00-16:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/211*/1/S/ - GOLJUFIJA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;ZAVAROVALNIŠKA - O;;;048-DENAR;;;;MURSKA SOBOTA;UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE;2018;POROÈILO;004186001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;10.000 - 100.000 EUR
004425;10.2017;09:00-09:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;PONUJANJE NAPRODAJ - O;PRODAJA - O;;437-KONOPLJA RASTLINA (MARIHUANA);;;;MURSKA SOBOTA;OBMOÈJE PROMETA;2018;OVADBA;004425001;OVADENI OSUMLJENEC;44-54;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
004464;05.2017;17:00-17:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;POSREDOVANJE PRI NAKUPU ALI PRODAJI - O;;;437-KONOPLJA RASTLINA (MARIHUANA);;;;MURSKA SOBOTA;PROSTOR ZA ŠPORT, REKREACIJO, ZABAVO;2018;OVADBA;004464001;OVADENI OSUMLJENEC;18-24;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
004503;10.2017;15:00-15:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/228*/1// - POSLOVNA GOLJUFIJA;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;S PRIKRIVANJEM, DA BODO OBVEZNOSTI IZPOLNJENE;;;259-POSLOVNE LISTINE;;;;MURSKA SOBOTA;UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE;2018;POROÈILO;004503001;OSTALO;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;BREZ
004841;10.2017;17:00-17:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;NAKUP ZARADI PRODAJE - O;;;437-KONOPLJA RASTLINA (MARIHUANA);;;;MURSKA SOBOTA;OBMOÈJE PROMETA;2018;OVADBA;004841001;OSTALO;34-44;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
004996;09.2016;23:00-23:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/283*/1// - KRIVA OVADBA;KD ZOPER PRAVOSODJE;SPLOŠNA; ; ;NE;NI OZNAKE;;;199-NI PREDMETA;;;;MURSKA SOBOTA;URADNI PROSTORI POLICIJE;2018;POROÈILO;004996001;OSTALO;54-64;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
005040;10.2017;07:00-07:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;NE;HRAMBA - O;PROIZVODNJA - O;;438-KONOPLJA RASTLINA (BILKA);;;;MURSKA SOBOTA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;005040001;OVADENI OSUMLJENEC;34-44;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
005152;09.2017;02:00-02:59;NEDELJA;PU MURSKA SOBOTA;NE;KZ12/296*/2// - NASILNIŠTVO;KD ZOPER JAVNI RED IN MIR;SPLOŠNA; ; ;NE;POVZROÈITEV LAHKE TELESNE POŠKODBE - O;DVA ALI VEÈ STORILCEV - O;PRETEPA - O;268-PREDMETI IZ LESA;;;;MURSKA SOBOTA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;005152001;ŽRTEV;44-54;MOŠKI;SLOVENSKO;LAHKA TELESNA POŠKODBA;NN;NN;NE;BREZ
005174;11.2017;00:00-00:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/228*/1// - POSLOVNA GOLJUFIJA;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;S PRIKRIVANJEM, DA BODO OBVEZNOSTI IZPOLNJENE;;;199-NI PREDMETA;;;;MURSKA SOBOTA;GRADBIŠÈE;2018;OVADBA;005174001;ŽRTEV;34-44;MOŠKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;BREZ
005288;09.2017;20:00-20:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ15/134A+/1// - ZALEZOVANJE;KD ZOPER ÈLOVEKOVE PRAVICE IN SVOBOŠÈINE;SPLOŠNA; ; ;NE;PONAVLJAJOÈIM OPAZOVANJEM ALI ZASLEDOVANJEM;;;291-RAÈUNALNIŠKA OPREMA IN SREDSTVA;;;;MURSKA SOBOTA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;005288001;OVADENI OSUMLJENEC;44-54;ŽENSKI;SLOVENSKO;;NE;NE;NE;BREZ
005339;10.2017;02:00-02:59;NEDELJA;PU MURSKA SOBOTA;NE;KZ12/296*/2// - NASILNIŠTVO;KD ZOPER JAVNI RED IN MIR;SPLOŠNA; ; ;NE;POVZROÈITEV LAHKE TELESNE POŠKODBE - O;DVA ALI VEÈ STORILCEV - O;;199-NI PREDMETA;;;;MURSKA SOBOTA;PROSTOR ZA ŠPORT, REKREACIJO, ZABAVO;2018;OVADBA;005339001;ŽRTEV;18-24;MOŠKI;SLOVENSKO;LAHKA TELESNA POŠKODBA;NN;NN;NE;BREZ
005346;11.2015;15:00-15:59;ÈETRTEK;PU MURSKA SOBOTA;NE;KZ12/257*/3// - ZLORABA URADNEGA POLOŽAJA ALI URADNIH PRAVIC;KD ZOPER URADNO DOLŽNOST, JAVNA POOBLASTILA IN JAVNA SREDSTVA;GOSPODARSKA; ; ;NE;PRIDOBITEV MATERIALNE KORISTI ZA DRUGEGA - O;;;291-RAÈUNALNIŠKA OPREMA IN SREDSTVA;;;;MURSKA SOBOTA;POSEBEJ (ZA)VAROVANO OBMOÈJE;2018;POROÈILO;005346001;OSTALO;34-44;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
005495;11.2017;17:00-17:59;PETEK;PU MURSKA SOBOTA;NE;KZ12/186*/1// - NEUPRAVIÈENA PROIZVODNJA IN PROMET S PREPOVEDANIMI DROGAMI, NEDOVOLJENIMI SNOVMI V ŠPORTU IN PREDHOD;KD ZOPER ÈLOVEKOVO ZDRAVJE;SPLOŠNA; ; ;DA;PONUJANJE NAPRODAJ - O;;;437-KONOPLJA RASTLINA (MARIHUANA);;;;MURSKA SOBOTA;OBMOÈJE PROMETA;2018;POROÈILO;005495001;OSTALO;24-34;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
005559;11.2017;12:00-12:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/204*/1/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;NI OZNAKE;;;048-DENAR;;;;MURSKA SOBOTA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;005559001;ŽRTEV;NAD 64;ŽENSKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;100 - 1.000 EUR
005706;11.2017;12:00-12:59;SOBOTA;PU MURSKA SOBOTA;NE;KZ12/211*/5/S/ - GOLJUFIJA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;NEPLAÈILO(BLAGA, STORITVE, DOLGA...) - O;PREGON NA PREDLOG - O;;048-DENAR;;;;MURSKA SOBOTA;PRODAJNI PROSTOR;2018;OVADBA;005706001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;DO 100 EUR
005746;11.2017;10:00-10:59;SREDA;PU MURSKA SOBOTA;NE;KZ12/204*/1/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;NI OZNAKE;;;066-ELEKTROTEHNIÈNI MATERIAL;;;;MURSKA SOBOTA;ODPRT ALI ZAPRT SKLADIŠÈNI PROSTOR;2018;OVADBA;005746001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;1.000 - 10.000 EUR
005886;11.2017;04:00-04:59;SOBOTA;PU MURSKA SOBOTA;NE;KZ12/205*/1/1 S/ - VELIKA TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;SKOZI OKNO;Z VLOMOM- O;;048-DENAR;002-ALKOHOLNA PIJAÈA;361-TOBAÈNI IZDELKI IN PROIZVODI;;MURSKA SOBOTA;PRODAJNI PROSTOR;2018;OVADBA;005886001;ŽRTEV;34-44;MOŠKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;1.000 - 10.000 EUR
005978;11.2017;10:00-10:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/228*/1// - POSLOVNA GOLJUFIJA;KD ZOPER GOSPODARSTVO;GOSPODARSKA; ; ;NE;Z DELNO NEIZPOLNITVIJO OBVEZNOSTI;;;247-POGODBE;;;;MURSKA SOBOTA;UPRAVNO-ADMINISTRATIVNI PROSTOR PODJETJA ALI DRUGE ORGANIZACIJE;2018;OVADBA;005978001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;TUJE;;NN;NN;NE;10.000 - 100.000 EUR
006002;11.2017;11:00-11:59;PONEDELJEK;PU MURSKA SOBOTA;NE;KZ12/211*/1/S/ - GOLJUFIJA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;KLASIÈNA - O;;;048-DENAR;;;;MURSKA SOBOTA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;OVADBA;006002001;OVADENI OSUMLJENEC;34-44;MOŠKI;SLOVENSKO;;NE;NE;NE;BREZ
006095;06.2017;23:00-23:59;TOREK;PU MURSKA SOBOTA;NE;KZ12/190*/1// - ODVZEM MLADOLETNE OSEBE;KD ZOPER ZAKONSKO ZVEZO, DRUŽINO IN OTROKE;SPLOŠNA; ; ;NE;ONEMOGOÈANJE ODLOÈBE O DODELITVI - O;;;199-NI PREDMETA;;;;MURSKA SOBOTA;NASTANITVENI PROSTOR Z NEPOSREDNO OKOLICO (DVORIŠÈE, VRT IPD.);2018;POROÈILO;006095001;OSTALO;24-34;ŽENSKI;SLOVENSKO;;NE;NE;NE;BREZ
006387;11.2017;11:00-11:59;SOBOTA;PU MURSKA SOBOTA;NE;KZ15/135+/1// - GROŽNJA;KD ZOPER ÈLOVEKOVE PRAVICE IN SVOBOŠÈINE;SPLOŠNA; ; ;NE;GROŽNJA Z NAPADOM NA ŽIVLJENJE - O;PREGON NA PREDLOG - O;;199-NI PREDMETA;;;;MURSKA SOBOTA;PROSTOR ZA ŠPORT, REKREACIJO, ZABAVO;2018;POROÈILO;006387001;ŽRTEV;34-44;MOŠKI;SLOVENSKO;BREZ POŠKODBE;NN;NN;NE;BREZ
006401;11.2017;17:00-17:59;SOBOTA;PU MURSKA SOBOTA;DA;KZ12/204*/2/S/ - TATVINA;KD ZOPER PREMOŽENJE;SPLOŠNA; ; ;NE;PREGON NA PREDLOG - O;;;205-OBLAÈILA;;;;MURSKA SOBOTA;PRODAJNI PROSTOR;2018;OVADBA;006401001;ŽRTEV;PRAVNA OSEBA;PRAVNA OSEBA;SLOVENSKO;;NN;NN;NE;DO 100 EUR
